"productid","productname","price","stock"
2,"Mechanical Keyboard","2499.50",75
3,"USB-C Charger","599.00",200
4,"Gaming Headset","3499.00",50
5,"External Hard Drive 1TB","4599.00",80
6,"Webcam HD","1999.00",60
7,"Bluetooth Speaker","1299.99",100
8,"LED Monitor 24-inch","8999.00",30
9,"Laptop Stand","999.00",110
10,"Portable SSD 512GB","6499.00",45
2,"Mechanical Keyboard","2499.50",75
3,"USB-C Charger","599.00",200
4,"Gaming Headset","3499.00",50
5,"External Hard Drive 1TB","4599.00",80
6,"Webcam HD","1999.00",60
7,"Bluetooth Speaker","1299.99",100
8,"LED Monitor 24-inch","8999.00",30
9,"Laptop Stand","999.00",110
10,"Portable SSD 512GB","6499.00",45
11,"Smartphone Holder","499.00",150
12,"Wireless Keyboard","1999.99",90
14,"Gaming Mouse","2499.00",70
15,"USB Hub 4-Port","399.00",180
16,"Power Bank 10000mAh","999.00",130
17,"HDMI Cable 2m","299.00",200
19,"Laptop Backpack","2999.00",60
20,"Smartwatch","9999.00",35
21,"Tablet Stand","799.00",100
22,"Wireless Earbuds","2999.99",80
23,"Portable Projector","14999.00",20
26,"Graphic Tablet","4999.00",50
27,"External DVD Drive","1999.00",70
28,"Surge Protector","999.00",120
29,"Wi-Fi Router","3499.00",40
30,"Smart Bulb","599.00",150
31,"Streaming Microphone","3999.00",30
32,"Tripod Stand","999.00",90
34,"Memory Card 128GB","1999.00",100
36,"Laptop Cooling Pad","1499.00",80
39,"Bluetooth Adapter","499.00",200
41,"Desktop Speakers","2499.00",50
42,"USB Flash Drive 64GB","799.00",150
43,"Portable Air Purifier","5999.00",30
46,"Electric Kettle","2499.00",60
47,"Coffee Maker","4999.00",40
48,"Smart Plug","999.00",100
49,"Fitness Tracker","2999.00",80
37,"Portable Power Station","22499.100",15
38,"Smart Thermostat","17999.100",20
45,"Robot Vacuum Cleaner","17999.100",20
40,"Wireless Presenter","799.00",120
33,"Action Camera1","9999.00",25
44,"Smart Doorbell1","9999.00",25
50,"Digital Photo Frame1","7999.00",25
24,"Gaming Chair1","14399.100",25
